                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.68778,                0.59102,                 1.1242,                0.89724,                0.88823,                0.92676,                0.72988,                0.78507,                0.56338,                 1.1858,               0.005974,               0.005974,               0.005974
                    124,                0.67017,                 0.5807,                  1.124,                0.89876,                0.88661,                0.92733,                0.73145,                0.79568,                0.56344,                 1.1984,               0.005941,               0.005941,               0.005941
                    125,                0.66958,                0.57827,                 1.1118,                0.90068,                0.87083,                0.92372,                 0.7324,                0.78671,                0.58007,                 1.1869,               0.005908,               0.005908,               0.005908
                    126,                0.68061,                0.59293,                  1.121,                0.87419,                0.88658,                0.92106,                0.73063,                0.78907,                0.58575,                 1.1906,               0.005875,               0.005875,               0.005875
                    127,                 0.6859,                0.58789,                  1.123,                0.88233,                0.89711,                0.92571,                0.72825,                0.78526,                0.55985,                 1.1876,               0.005842,               0.005842,               0.005842
                    128,                0.67578,                0.58303,                 1.1263,                0.89782,                0.88847,                0.92439,                0.72903,                0.79389,                0.55999,                 1.1913,               0.005809,               0.005809,               0.005809
                    129,                0.68334,                0.59294,                 1.1257,                0.90567,                0.88111,                0.92385,                0.73444,                0.77801,                 0.5573,                 1.1823,               0.005776,               0.005776,               0.005776
                    130,                0.67968,                0.58039,                 1.1185,                0.88246,                0.89528,                 0.9194,                0.71945,                 0.7927,                0.56821,                 1.1927,               0.005743,               0.005743,               0.005743
                    131,                0.67893,                0.58892,                 1.1237,                0.90426,                0.87304,                0.92221,                0.73279,                0.78109,                0.56151,                 1.1816,                0.00571,                0.00571,                0.00571
                    132,                0.67052,                0.58528,                 1.1224,                0.89823,                0.87003,                0.92129,                0.72925,                0.78411,                0.56871,                 1.1914,               0.005677,               0.005677,               0.005677
                    133,                0.66164,                0.58139,                 1.1123,                0.89025,                0.87881,                0.92199,                 0.7292,                0.77659,                0.56488,                 1.1869,               0.005644,               0.005644,               0.005644
                    134,                0.67987,                0.58054,                 1.1189,                0.90056,                0.87467,                0.92052,                0.73452,                0.77564,                0.56472,                 1.1827,               0.005611,               0.005611,               0.005611
                    135,                0.66594,                0.57506,                 1.1145,                0.89522,                0.89137,                0.92588,                0.73527,                0.79406,                0.55568,                 1.1999,               0.005578,               0.005578,               0.005578
                    136,                0.68015,                0.57899,                 1.1228,                 0.8854,                 0.8874,                 0.9251,                0.73889,                0.77345,                0.55837,                 1.1729,               0.005545,               0.005545,               0.005545
                    137,                 0.6718,                 0.5655,                 1.1226,                0.87344,                0.89334,                0.92815,                0.74136,                0.77033,                  0.562,                 1.1758,               0.005512,               0.005512,               0.005512
                    138,                0.66246,                0.56766,                 1.1103,                0.87269,                0.90466,                0.92344,                0.73378,                0.78499,                0.56307,                 1.1958,               0.005479,               0.005479,               0.005479
                    139,                0.67131,                0.56537,                 1.1107,                0.90766,                0.86747,                0.92833,                0.73452,                0.78668,                0.56672,                 1.1872,               0.005446,               0.005446,               0.005446
                    140,                0.66806,                0.57612,                 1.1074,                0.92066,                0.85681,                0.92699,                0.73389,                0.79565,                0.57514,                 1.2122,               0.005413,               0.005413,               0.005413
                    141,                0.64671,                0.55878,                 1.1045,                0.88193,                0.89402,                0.92664,                0.73956,                 0.7814,                0.55511,                 1.1916,                0.00538,                0.00538,                0.00538
                    142,                0.65276,                0.56549,                 1.1062,                0.86892,                0.90407,                0.92582,                0.74408,                0.76799,                0.55331,                 1.1689,               0.005347,               0.005347,               0.005347
                    143,                0.67189,                0.56577,                 1.1145,                 0.8887,                0.89883,                0.93183,                0.74468,                0.77463,                0.56551,                 1.1824,               0.005314,               0.005314,               0.005314
                    144,                 0.6564,                0.56639,                 1.1027,                0.89689,                0.88569,                0.92547,                0.73591,                0.76815,                0.56284,                  1.167,               0.005281,               0.005281,               0.005281
                    145,                0.65696,                0.56511,                 1.1068,                 0.8689,                0.90441,                0.92618,                0.74137,                0.77499,                0.56051,                 1.1779,               0.005248,               0.005248,               0.005248
                    146,                0.65454,                0.56011,                 1.1049,                0.89949,                 0.8773,                0.92662,                0.73807,                0.78683,                0.55988,                 1.1835,               0.005215,               0.005215,               0.005215
                    147,                0.65715,                0.55984,                 1.1078,                0.89516,                 0.8781,                0.92086,                0.73345,                0.78506,                0.57603,                 1.1807,               0.005182,               0.005182,               0.005182
                    148,                0.64118,                0.54395,                 1.0993,                0.88295,                0.88571,                0.91819,                 0.7343,                0.77517,                0.56605,                  1.174,               0.005149,               0.005149,               0.005149
                    149,                0.64993,                0.55142,                 1.1027,                0.88264,                0.89592,                0.92058,                0.73357,                0.78044,                0.56844,                 1.1742,               0.005116,               0.005116,               0.005116
                    150,                0.65514,                0.55761,                 1.0991,                 0.8839,                0.89814,                  0.924,                0.73552,                 0.7743,                0.55898,                  1.179,               0.005083,               0.005083,               0.005083
                    151,                 0.6539,                0.56502,                 1.1044,                0.88816,                0.88803,                0.92366,                0.74007,                0.77105,                  0.565,                  1.173,                0.00505,                0.00505,                0.00505
                    152,                0.63649,                0.53586,                 1.0978,                0.89986,                0.88434,                0.93099,                0.74684,                0.76926,                0.54809,                 1.1668,               0.005017,               0.005017,               0.005017
                    153,                 0.6618,                0.55273,                 1.1061,                0.89921,                   0.89,                0.92679,                0.74551,                0.76717,                0.55967,                  1.158,               0.004984,               0.004984,               0.004984
                    154,                  0.654,                0.54843,                 1.1018,                0.89848,                0.89316,                0.92553,                0.74575,                0.76426,                 0.5632,                 1.1679,               0.004951,               0.004951,               0.004951
